## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[chr17.bam] OUTPUT=chr17_dedup.bam METRICS_FILE=chr17_dedup.metrics.txt CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Dec 06 08:09:53 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	8	173877	847	12	0	54	0	0.000311	279879178

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	173769	173769
2.0	1.999379	54	54
3.0	2.998137	0	0
4.0	3.996275	0	0
5.0	4.993793	0	0
6.0	5.990692	0	0
7.0	6.986971	0	0
8.0	7.982632	0	0
9.0	8.977674	0	0
10.0	9.972098	0	0
11.0	10.965905	0	0
12.0	11.959094	0	0
13.0	12.951667	0	0
14.0	13.943623	0	0
15.0	14.934963	0	0
16.0	15.925688	0	0
17.0	16.915797	0	0
18.0	17.905291	0	0
19.0	18.894171	0	0
20.0	19.882436	0	0
21.0	20.870088	0	0
22.0	21.857126	0	0
23.0	22.843552	0	0
24.0	23.829364	0	0
25.0	24.814565	0	0
26.0	25.799153	0	0
27.0	26.78313	0	0
28.0	27.766496	0	0
29.0	28.749252	0	0
30.0	29.731396	0	0
31.0	30.712931	0	0
32.0	31.693857	0	0
33.0	32.674173	0	0
34.0	33.65388	0	0
35.0	34.632979	0	0
36.0	35.611469	0	0
37.0	36.589352	0	0
38.0	37.566628	0	0
39.0	38.543297	0	0
40.0	39.519359	0	0
41.0	40.494815	0	0
42.0	41.469665	0	0
43.0	42.44391	0	0
44.0	43.417549	0	0
45.0	44.390584	0	0
46.0	45.363015	0	0
47.0	46.334841	0	0
48.0	47.306064	0	0
49.0	48.276684	0	0
50.0	49.246701	0	0
51.0	50.216116	0	0
52.0	51.184929	0	0
53.0	52.153139	0	0
54.0	53.120749	0	0
55.0	54.087758	0	0
56.0	55.054166	0	0
57.0	56.019973	0	0
58.0	56.985181	0	0
59.0	57.94979	0	0
60.0	58.913799	0	0
61.0	59.87721	0	0
62.0	60.840022	0	0
63.0	61.802237	0	0
64.0	62.763854	0	0
65.0	63.724873	0	0
66.0	64.685296	0	0
67.0	65.645122	0	0
68.0	66.604352	0	0
69.0	67.562987	0	0
70.0	68.521026	0	0
71.0	69.47847	0	0
72.0	70.435319	0	0
73.0	71.391574	0	0
74.0	72.347236	0	0
75.0	73.302303	0	0
76.0	74.256778	0	0
77.0	75.21066	0	0
78.0	76.163949	0	0
79.0	77.116646	0	0
80.0	78.068752	0	0
81.0	79.020266	0	0
82.0	79.97119	0	0
83.0	80.921522	0	0
84.0	81.871265	0	0
85.0	82.820417	0	0
86.0	83.768981	0	0
87.0	84.716955	0	0
88.0	85.66434	0	0
89.0	86.611137	0	0
90.0	87.557346	0	0
91.0	88.502967	0	0
92.0	89.448001	0	0
93.0	90.392448	0	0
94.0	91.336309	0	0
95.0	92.279583	0	0
96.0	93.222271	0	0
97.0	94.164374	0	0
98.0	95.105892	0	0
99.0	96.046825	0	0
100.0	96.987174	0	0

