## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[chr7.bam] OUTPUT=chr7_dedup.bam METRICS_FILE=chr7_dedup.metrics.txt CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Dec 06 08:10:00 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	7	249303	1321	7	0	60	0	0.000241	517850110

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	249183	249183
2.0	1.999519	60	60
3.0	2.998556	0	0
4.0	3.997113	0	0
5.0	4.995189	0	0
6.0	5.992785	0	0
7.0	6.989901	0	0
8.0	7.986536	0	0
9.0	8.982693	0	0
10.0	9.978369	0	0
11.0	10.973567	0	0
12.0	11.968285	0	0
13.0	12.962525	0	0
14.0	13.956286	0	0
15.0	14.949568	0	0
16.0	15.942373	0	0
17.0	16.9347	0	0
18.0	17.926549	0	0
19.0	18.917921	0	0
20.0	19.908816	0	0
21.0	20.899234	0	0
22.0	21.889175	0	0
23.0	22.87864	0	0
24.0	23.867628	0	0
25.0	24.85614	0	0
26.0	25.844177	0	0
27.0	26.831738	0	0
28.0	27.818824	0	0
29.0	28.805435	0	0
30.0	29.79157	0	0
31.0	30.777232	0	0
32.0	31.762419	0	0
33.0	32.747131	0	0
34.0	33.73137	0	0
35.0	34.715135	0	0
36.0	35.698426	0	0
37.0	36.681245	0	0
38.0	37.66359	0	0
39.0	38.645462	0	0
40.0	39.626862	0	0
41.0	40.607789	0	0
42.0	41.588245	0	0
43.0	42.568228	0	0
44.0	43.54774	0	0
45.0	44.52678	0	0
46.0	45.505349	0	0
47.0	46.483448	0	0
48.0	47.461075	0	0
49.0	48.438232	0	0
50.0	49.414918	0	0
51.0	50.391135	0	0
52.0	51.366881	0	0
53.0	52.342158	0	0
54.0	53.316966	0	0
55.0	54.291304	0	0
56.0	55.265173	0	0
57.0	56.238574	0	0
58.0	57.211506	0	0
59.0	58.18397	0	0
60.0	59.155966	0	0
61.0	60.127494	0	0
62.0	61.098555	0	0
63.0	62.069148	0	0
64.0	63.039274	0	0
65.0	64.008933	0	0
66.0	64.978125	0	0
67.0	65.946851	0	0
68.0	66.91511	0	0
69.0	67.882904	0	0
70.0	68.850231	0	0
71.0	69.817094	0	0
72.0	70.78349	0	0
73.0	71.749422	0	0
74.0	72.714889	0	0
75.0	73.679891	0	0
76.0	74.644429	0	0
77.0	75.608502	0	0
78.0	76.572111	0	0
79.0	77.535257	0	0
80.0	78.497939	0	0
81.0	79.460158	0	0
82.0	80.421913	0	0
83.0	81.383206	0	0
84.0	82.344036	0	0
85.0	83.304403	0	0
86.0	84.264309	0	0
87.0	85.223752	0	0
88.0	86.182733	0	0
89.0	87.141253	0	0
90.0	88.099312	0	0
91.0	89.05691	0	0
92.0	90.014046	0	0
93.0	90.970722	0	0
94.0	91.926938	0	0
95.0	92.882693	0	0
96.0	93.837988	0	0
97.0	94.792824	0	0
98.0	95.747199	0	0
99.0	96.701116	0	0
100.0	97.654573	0	0

